cliente_id,fecha,saldo_dispuesto,cupo_comprometido
CLI01,2026-06-15,2800000000,1900000000
CLI01,2026-07-15,3000000000,2000000000
CLI01,2026-08-15,3100000000,2050000000
CLI01,2026-09-15,3200000000,2100000000
CLI02,2026-06-15,4000000000,1500000000
CLI02,2026-07-15,4200000000,1600000000
CLI02,2026-08-15,4350000000,1700000000
CLI02,2026-09-15,4500000000,1800000000
CLI03,2026-06-15,2500000000,2000000000
CLI03,2026-07-15,2650000000,2150000000
CLI03,2026-08-15,2800000000,2300000000
CLI03,2026-09-15,2900000000,2400000000
CLI04,2026-06-15,1200000000,800000000
CLI04,2026-07-15,1250000000,820000000
CLI04,2026-08-15,1300000000,850000000
CLI04,2026-09-15,1350000000,870000000
CLI05,2026-07-15,1800000000,900000000
CLI05,2026-08-15,1850000000,920000000
CLI05,2026-09-15,1900000000,950000000
CLI06,2026-07-15,900000000,400000000
CLI06,2026-08-15,950000000,420000000
CLI06,2026-09-15,1000000000,450000000
CLI07,2026-07-15,700000000,300000000
CLI07,2026-08-15,720000000,310000000
CLI07,2026-09-15,750000000,320000000
CLI08,2026-07-15,650000000,250000000
CLI08,2026-08-15,680000000,260000000
CLI08,2026-09-15,700000000,270000000
CLI09,2026-07-15,45000000,10000000
CLI09,2026-08-15,47000000,10500000
CLI09,2026-09-15,48000000,11000000
CLI10,2026-07-15,60000000,15000000
CLI10,2026-08-15,62000000,15500000
CLI10,2026-09-15,65000000,16000000
CLI11,2026-07-15,30000000,8000000
CLI11,2026-08-15,31000000,8200000
CLI11,2026-09-15,32000000,8500000
CLI12,2026-07-15,25000000,5000000
CLI12,2026-08-15,26000000,5200000
CLI12,2026-09-15,27000000,5500000
